Festival
JazzMadrid 2022
MAZ BASAURI 2022
BIS Festival 2022
Monkey Week 2022
Musgo 2022
MIRA Festival 2022
Primavera Sound Bogotá 2023
Hatortxu Rock 2022
Purple Weekend 2022
Festival SantasPascuas 2021 / 2022
Barcelona Rock Fest 2023
Benás Festival 2022
Glastonbury Festival 2023
Leeds Festival 2023
Reading Festival 2023
Download Festival 2023 (Reino Unido)
All Points East 2023
Coachella 2023
Lollapalooza 2023
The Governors Ball Festival 2023
Primavera Sound Los Ángeles 2022
Lollapalooza París 2023
Pitchfork Music Festival París 2023
Rock en Seine 2023
Garorock 2023
HellFest 2023
Lollapalooza Berlín 2023
Rock am Ring 2023
Best Kept Secret 2022
Pinkpop Festival 2022
Rock Werchter 2023
Tomorrowland 2023
NEOPOP Festival 2023
Sónar Lisboa 2023
Festival Paredes de Coura 2023
Primavera Sound Porto 2023
NOS Alive 2023
Super Bock Super Rock 2022
Amplifest 2022
Rock In Rio Lisboa 2022
Primavera Sound São Paulo 2023
Lollapalooza Brasil 2023
Sziget Festival 2023
Lollapalooza Estocolmo 2022
Corona Capital 2023
Primavera Sound Buenos Aires 2023
Primavera Sound Santiago de Chile 2023
Lollapalooza Chile 2023
Lollapalooza Argentina 2023
Festival Nrmal 2021
